generation,best_fitness,avg_fitness,species_count
1,30.400000000000006,17.35,1
2,60.50000000000008,47.55000000000007,1
3,95.1999999999997,92.69999999999985,2
4,246.6999999999982,125.0999999999991,2
5,1155.7000000000044,662.3500000000023,2
6,640.6000000000138,428.50000000000614,2
7,95.1999999999997,95.1999999999997,2
8,701.2000000000162,223.97500000000403,2
9,64.9,64.9,2
10,212.29999999999873,152.64999999999915,2
11,337.6000000000017,230.44999999999956,2
12,216.3999999999985,184.94999999999885,2
13,670.900000000015,283.5250000000031,2
14,670.900000000015,306.2250000000037,2
15,216.3999999999985,154.72499999999917,2
16,307.3000000000005,160.1749999999998,2
17,64.9,64.9,2
18,186.0999999999988,138.54999999999924,2
19,519.400000000009,282.4750000000045,2
20,852.7000000000222,441.5250000000091,2
21,34.600000000000065,34.600000000000065,2
22,216.3999999999985,154.84999999999917,2
23,303.5999999999997,152.64999999999975,2
24,276.9999999999993,162.4499999999997,2
25,576.3000000000105,205.8000000000024,2
26,792.1000000000198,465.4000000000095,2
27,216.3999999999985,216.3999999999985,2
28,640.6000000000138,359.42500000000274,2
29,489.10000000000775,345.17500000000206,2
30,1155.7000000000044,678.4750000000079,2
31,186.0999999999988,117.92499999999947,2
32,155.7999999999991,108.14999999999955,2
33,95.1999999999997,95.1999999999997,2
34,883.0000000000234,473.00000000000693,2
35,549.7000000000102,420.9250000000077,2
36,151.39999999999935,131.9749999999994,2
37,216.3999999999985,115.7249999999996,2
38,519.400000000009,352.75000000000387,2
39,64.9,64.9,2
40,367.90000000000293,186.10000000000147,2
41,458.80000000000655,289.8250000000031,2
42,186.0999999999988,131.1999999999993,2
43,514.9000000000079,287.82500000000334,2
44,640.6000000000138,267.4000000000028,2
45,276.9999999999993,253.09999999999926,2
46,307.3000000000005,191.64999999999958,2
47,216.3999999999985,170.94999999999888,2
48,216.3999999999985,207.79999999999865,2
49,610.3000000000126,269.42500000000246,2
50,514.7000000000079,344.0000000000033,2
51,337.6000000000017,267.3749999999993,2
52,337.6000000000017,170.95000000000007,2
53,125.4999999999994,80.04999999999986,2
54,1034.5000000000236,616.9250000000116,2
55,186.0999999999988,186.0999999999988,2
56,155.7999999999991,155.7999999999991,2
